Adidas                            ,                                                                                       ,                       ,                                                                                                       ,                                                                             ,                                                     ,                          ,                   ,                                 , 
Country                           , Supplier Name                                                                         , Tier                  , Address 1                                                                                             , Address 2                                                                   , Address 3                                           , City                     , Postal Code       , State                           , Product Type
Argentina                         , DASS ELDORADO SRL                                                                     , Tier 1 – Subcontractor, "ALBERTO BEJAR BARRIOS, 407"                                                                          ,                                                                             , N/A                                                 , ELDORADO                 , 30-71008366-1     , MISIONES                        , Footwear
Argentina                         , DER WILL SOCIEDAD ANONIMA                                                             , Tier 1 - Primary      , Monseñor de Andrea 3333                                                                               , Villa de Mayo                                                               ,                                                     , Buenos Aires             , B1614             , Buenos Aires                    , Accessories
Argentina                         , Materia Prima SA - Planta 2                                                           , Tier 1 – Subcontractor, Domingo de Acassuso 5170                                                                              ,                                                                             , Munro                                               , Municipalidad Vte Lopez  , B1605BFV          , Buenos Aires                    , Apparel
Argentina                         , Pyltex SRL                                                                            , Tier 1 – Subcontractor, Martiniano Leguizamón 1840                                                                            ,                                                                             ,                                                     , CABA                     , 1440              , Ciudad Autonoma de Buenos Aires , Apparel
Argentina                         , RA INTERTRADING SA                                                                    , Tier 1 - Primary      , José Ignacio Rucci 3951-55                                                                            ,                                                                             ,                                                     , BUENOS AIRES             , 1439              , Ciudad Autonoma de Buenoas Aires, Apparel
Argentina                         , RA INTERTRADING SA                                                                    , Tier 1 - Primary      , Av. Belgrano 644                                                                                      ,                                                                             ,                                                     , Catamarca                , 4700              , Catamarca                       , Apparel
Argentina                         , Rocotex SRL                                                                           , Tier 1 - Primary      , AREA INDUSTRIAL EL PANTANILLO                                                                         , RUTA NACIONAL Nº 38 KM 1345                                                 ,                                                     , Buenos Aires             , 1611              , Catamarca                       , Accessories
Argentina                         , Will Der Pacheco                                                                      , Tier 1 - Primary      , Jose Ingenieros 2387                                                                                  ,                                                                             ,                                                     , "Ricardo Rojas, Tigre"   , 1610              , Buenos Aires                    , Apparel
Bangladesh                        , Karnaphuli Shoes Industries Limited                                                   , Tier 1 - Primary      , Korean Export Processing Zone                                                                         , "Anowara,"                                                                  ,                                                     , Chattogram               , 4371              , Chittagong / Chattogram         , Apparel
Belgium                           , Cousy BVBA                                                                            , Tier 1 - Primary      , Vandendrieschestraat 10                                                                               ,                                                                             ,                                                     , Zottegem                 , 9620              , Flemish                         , Apparel
Brazil                            , AIRTON ADALBERTO BECKER - Calçados Maju                                               , Tier 1 – Subcontractor, "RUA DAS AMERICAS, N°125"                                                                             ,                                                                             ,                                                     , NOVA HARTZ               , 93890-000         , Rio Grande do Sul               , Footwear
Brazil                            , "Aniger - Calçados, Suprimentos e Empreendimentos Ltda - Quixeramobim"                , Tier 1 – Subcontractor, "Rua Gen Bizarria de Carvalho, 22 - Quixeramobim - CE - Brasil"                                       ,                                                                             ,                                                     , Quixeramobim             , 63800-000         , Ceara                           , Footwear
Brazil                            , Aniger Calçados Suprimentos e Empreendimentos ltda                                    , Tier 1 - Primary      , "Rua Armindo Eltz, 51  - Quatro Colônias"                                                             , Bairro Quatro Colônias                                                      , N/A                                                 , Campo Bom – RS           , 93700-000         , RS                              , Footwear
Brazil                            , ARTUR PETERS FILHO - Calçados Padilha                                                 , Tier 1 – Subcontractor, "ESTRADA PADILHA, 9180"                                                                               , 9180                                                                        ,                                                     , Padilha - Taquara RS     , 95.615-000        , Rio Grande do Sul               , Footwear
Brazil                            , Atelier d. Miguel & Cia Ltda                                                          , Tier 1 – Subcontractor, "TRAVESSA SEM DENOMINAÇÃO  DA ESTRADA SERGIO LUCKMANN, 100"                                           , LOCALIDADE DE EVARISTO                                                      ,                                                     , SANTO ANTONIO DA PATRULHA, 95500000          , Rio Grande do Sul               , Footwear
Brazil                            , ATELIER DE CALCADOS RESIL LTDA                                                        , Tier 1 – Subcontractor, RUA CRISTOVAO COLOMBO                                                                                 , 888                                                                         , CENTRO                                              , ROLANTE                  , 95.690-000        , Rio Grande do Sul               , Footwear
Brazil                            , Calçados Ramarim Ltda - Nova Hartz                                                    , Tier 1 - Primary      , "Rua Angra dos Reis, 171"                                                                             ,                                                                             , B. Das Rosas                                        , Nova Hartz – RS          , 93890-000         , Rio Grande do Sul               , Footwear
Brazil                            , Calçados Ramarim Ltda - Sapiranga                                                     , Tier 1 – Subcontractor, "Rua General Nascimento Vargas, 154"                                                                  ,                                                                             , B. São Luiz                                         , Sapiranga - RS           , 93800-000         , Rio Grande do Sul               , Footwear
Brazil                            , Cooperativa de Trabalho da Indústria de Calçados de Quixeramobim Ltda - São Miguel    , Tier 1 – Subcontractor, Vila dos Amancios 01                                                                                  ,                                                                             ,                                                     , Quixeramobim             , 63800-000         , Ceara                           , Footwear
Brazil                            , Cooperativa de Trabalho da Indústria de Calçados de Quixeramobim Ltda.                , Tier 1 – Subcontractor, "Rua Geraldo Bizarria de Carvalho, 22"                                                                ,                                                                             ,                                                     , Quixeramobim             , 63800-000         , Ceara                           , Footwear
Brazil                            , Dass Nordeste Calçados e Artigos Esportivos S.A - Itapipoca                           , Tier 1 - Primary      , "Rua da Universidade, 406"                                                                            , Bairro Madalena                                                             ,                                                     , Itapipoca                , 62500-001         , Ceara                           , Footwear
Brazil                            , Dass Nordeste Calçados e Artigos Esportivos S.A - VDCO                                , Tier 1 – Subcontractor, "Av. Juracy Magalhães, 5200"                                                                          , Parque Santa Monica                                                         , Bairro Airton Sena                                  , Vitória da Conquista     , 45023-490         , Bahia                           , Apparel
Brazil                            , Dass Nordeste Calçados e Artigos Esportivos S/A - Assunção                            , Tier 1 – Subcontractor, "Comunidade Matinhas, S/N - Assunção"                                                                 ,                                                                             ,                                                     , Itapipoca                , 62500001          ,                                 , Footwear
Brazil                            , Dass Print                                                                            , Tier 1 – Subcontractor, "Rua Marcilio Dias, 163 Centro"                                                                       ,                                                                             ,                                                     , Saudades                 , 89868-000         , Santa Catarina                  , Apparel
Brazil                            , Dass Sul Calçados e Artigos Esportivos Ltda - Saudades                                , Tier 1 - Primary      , "R. Marcilio Dias 10, "                                                                               , Centro                                                                      ,                                                     , Saudades                 , 89868 000         , Santa Catarina                  , Apparel
Brazil                            , LABELLA ATELIER DE CALÇADOS LTDA                                                      , Tier 1 – Subcontractor, RUA ADRIANO DE QUADROS BITTENCOURT                                                                    , 1388                                                                        , BAIRRO RINCÃO DOS ILHEUS                            , ESTANCIA VELHA           , 93.608-150        , Rio Grande do Sul               , Footwear
Brazil                            , "OLIMPYC INDUSTRIA, COMERCIO E BENEFICIAMENTO DE CALÇADOS EIRELI"                     , Tier 1 – Subcontractor, "RUA MARIO QUINTANA, 100"                                                                             ,                                                                             , Bela Vista                                          , ESTANCIA VELHA           , 93614-390         , Rio Grande do Sul               , Footwear
Brazil                            , P A MIGUEL E CIA LTDA                                                                 , Tier 1 – Subcontractor, "ESTRADA MONJOLO,60"                                                                                  ,                                                                             ,                                                     , SANTO ANTONIO DA PATRULHA, 95500000          , Rio Grande do Sul               , Footwear
Brazil                            , Ranee Industria e Comércio LTDA (São Carlos)                                          , Tier 1 – Subcontractor, "AVENIDA PRESIDENTE KENNEDY,  Nº 1161"                                                                ,                                                                             ,                                                     , SÃO CARLOS               , 89870-000         , Santa Catarina                  , Apparel
Brazil                            , Ranee Industria e Comercio Ltda. 3 (Campo Erê)                                        , Tier 1 – Subcontractor, "Rua 31 de março, 504"                                                                                ,                                                                             ,                                                     , Campo Ere                , 89980000          , Rio Grande do Sul               , Apparel
Brazil                            , Selene Industria Textil S.A.                                                          , Tier 1 - Primary      , " 490, DO VELHO RAMAL ST"                                                                             ,                                                                             ,                                                     , Cerquilho                , 18520-000         , Sao Paulo                       , Apparel
Brazil                            , TECNOTEXTIL CONFECCOES LTDA                                                           , Tier 1 - Primary      , "RUA ESTRADA MUNICIPAL, KM01"                                                                         ,                                                                             ,                                                     , TRES PONTAS              , 37190000          , Minas Gerais                    , Apparel
Brazil                            , Textil H J Hering Ltda - Matriz                                                       , Tier 1 - Primary      , "Rua Rio de Janeiro, nr.965"                                                                          ,                                                                             ,                                                     , Indaial - SC             , 89130-000         , Santa Catarina                  , Apparel
Brazil                            , Textil H J Hering Ltda. - Filial Estamparia                                           , Tier 1 – Subcontractor, Rua Dr Blumenau 2484 Encano                                                                           ,                                                                             ,                                                     , Indaial - SC             , 89086-180         , Santa Catarina                  , Apparel
Cambodia                          , BEAUTY SILK SCREEN LIMITED                                                            , Tier 1 – Subcontractor, "Veng Sreng Blvd, Phum Trapeang Thleung"                                                              , "Sangkat Chom Chao, Khan Porsenchey  "                                      ,                                                     , Phnom Penh               , 12405             , Phnom Penh                      , Apparel
Cambodia                          , Bowker Garment Factory (Cambodia) Company Limited                                     , Tier 1 - Primary      , "NATIONAL ROAD NO.4,"                                                                                 , "PONG TEUK VILLAGE, BEK CHAN COMMUNE"                                       , "ANG SNOUL DISTRICT, KANDAL PROVINCE, CAMBODIA"     , Kandal                   , 8301              , Kandal                          , Apparel
Cambodia                          , "Can Sports Shoes Co., Ltd."                                                          , Tier 1 - Primary      , "National Road No.5, Chamkar Svay Village, "                                                          , "Sedthei Commune, Sameakki Mean Chey District"                              ,                                                     , Kampong Chhnang Province , 4457              , Kampong Chhnang                 , Footwear
Cambodia                          , "Elite (Cambodia) Co., Ltd."                                                          , Tier 1 - Primary      , "Manhattan Special Economic Zone,"                                                                    , "National Road #1, "                                                        , "Bavet Commune, Bavet District"                     ,                          , 200802            , Svay Rieng                      , Apparel
Cambodia                          , Grace Glory (Cambodia) Garment LTD                                                    , Tier 1 - Primary      , "National Road #4, Prey Kor Village"                                                                  , "Lum Hach Commune, Angsnoul District"                                       ,                                                     , Kandal                   , 83808             , Kandal                          , Apparel
Cambodia                          , "KKN APPAREL CO., LTD"                                                                , Tier 1 - Primary      , NEANG KOK VILLAGE                                                                                     , PAKKLONG COMMUNE                                                            ,                                                     , KOH KONG                 , 000000            ,                                 , Apparel
Cambodia                          , "MARVEL GARMENT CO.,LTD."                                                             , Tier 1 – Subcontractor, PPSEZ Beung Thom 3 village Sangkat Beung Thom Khan Posenchey                                          ,                                                                             ,                                                     , Phnom Penh               , 120909            , Select                          , Apparel
Cambodia                          , "Meng Da Footwear Industrial Co., Ltd (EVK)"                                          , Tier 1 - Primary      , "Street Veng Sreng, Phoum Chorm Chao"                                                                 , "Sangkat Chorm Chao, Khan Porsenchey"                                       ,                                                     , Phnom Penh               , 12000             , Phnom Penh                      , Footwear
Cambodia                          , "RONG WIN GARMENT CO., LTD."                                                          , Tier 1 - Primary      , PHUM TRAPEANG THLOENG 1                                                                               , SANGKAT CHOM CHAO 1                                                         , KHAN POR SENCHEY                                    , Phnom Penh               , 120909            , Phnom Penh                      , Apparel
Cambodia                          , "Sixplus Industry Co., Ltd."                                                          , Tier 1 - Primary      , PHUM KANDAL                                                                                           , KHUM PREK ANHCHANH                                                          , MOCKOMPOUL DISTRICT                                 , KANDAL PROVINCE          , 080701            , Kandal                          , Apparel
Cambodia                          , "Splendor Industry Co., Ltd."                                                         , Tier 1 – Subcontractor, "National Road #5, PHUM KHLANG SANG"                                                                  , SANGKAT RUSSEY KEO                                                          , KHAN RUSSEY KEO                                     , Phnom Penh               , 120703            , Phnom Penh                      , Apparel
Cambodia                          , Sportex Industry Co Ltd                                                               , Tier 1 – Subcontractor, National Road #5                                                                                      , PHUM SPEAN KPOS                                                             , "SANGKAT KILOMETRE 6, KHAN RUSSEY KEO"              , Phnom Penh               , 120702            , Phnom Penh                      , Apparel
Cambodia                          , Suntex Private Limited                                                                , Tier 1 – Subcontractor, "No. 8 Street Choam Chao, "                                                                           , "Sangkat Choam Chao, Khan Por Senchey"                                      ,                                                     , Phnom Penh               , 120910            ,                                 , Apparel
Cambodia                          , "Trax Apparel (Cambodia) Co., Ltd"                                                    , Tier 1 - Primary      , NO.1  Russian Federation Boulevard                                                                    , "Chongthnal Khang Kaeut , Teuk Thla"                                        , Sen Sok                                             , Phnom Penh               , 120802            , Phnom Penh                      , Apparel
Cambodia                          , "XO TEX INDUSTRIAL CO., LTD"                                                          , Tier 1 - Primary      , "Phum Trapaing Thloeng,"                                                                              , "Sangkat Choam Chao,"                                                       , Khan Por Senchey                                    , Phnom Penh               , 120909            , Phnom Penh                      , Apparel
Canada                            , Rair T & Co Inc.                                                                      , Tier 1 - Primary      , 3570 Griffith                                                                                         ,                                                                             ,                                                     , Ville St Laurent         , H4T 1A7           , Quebec                          , Apparel
China                             , ANHUI CHURUN GARMENT COMPANY LIMITED                                                  , Tier 1 - Primary      , BULIDING 2                                                                                            , No.708 Huizhou North Road                                                   ,                                                     , CHUZHOU CITY             , 239065            , ANHUI                           , Apparel
China                             , "Anxiang Victory Smart Manufacturing Sports Technologies Co.,Ltd"                     , Tier 1 - Primary      , Dajinggang Industrial Zone                                                                            , "Group 16, Xicheng Community,Dajinggang Town"                               , Anxiang County                                      , Changde                  , 415600            , Hunan                           , Footwear
China                             , Apache Footwear Ltd Heyun Branch Company                                              , Tier 1 – Subcontractor, "North of Tongfu Road, New city development area, Qingxing District, Heyun Town"                      , Qingxin                                                                     ,                                                     , Qingyuan                 , 511857            , Guangdong                       , Footwear
China                             , Apache Footwear Ltd Jin Tan Branch Company                                            , Tier 1 – Subcontractor, "Shangwan Village, Dawanggang, Jintan Town, Qingxing District"                                        ,                                                                             ,                                                     , Qingyuan                 , 511885            , Guangdong                       , Footwear
