supplier_name,address,country,state,city,postal_code,owner_company
TEXPORT SYNDICATE PRIVATE LIMITED,"AURO TEXTILE,, SAI ROAD BADDI, 173205, SOLAN",India,Himachal Pradesh,Baddi,173205.0,H&M
TEXPORT SYNDICATE PRIVATE LIMITED,"SURVEY NO. 3 PLOT NO.9-B/1, PEENYA INDUSTRIAL AREA, CHOKKASANDRA, 560058, BANGALORE",India,Karnataka,Bangalore,560058.0,H&M
PT SAI APPAREL INDUSTRIES,"JL. SEMARANG - GODONG KM 39. , RUAS JALAN 127 DESA HARJOWINANGUN, , KEC. GODONG, KAB. GROBOGAN, , 58162, SEMARANG",Indonesia,Central Java,Semarang,58162.0,H&M
PT SAI APPAREL INDUSTRIES,"ABOUT 280 METERS SOUTHEAST, KEHAI RD AND ZHI ER RD INTERSECTION, KEQIAO DISTRICT, 215228, SHAOXING",China,Zhejiang,Shaoxing,215228.0,H&M
PT SAI APPAREL INDUSTRIES,"QIAOJIAHE NORTH ROAD 18#, SIMA NEIGHBORHOOD COMMITTEE, WEST STREET, 415502, LI",,,,415502.0,H&M
PT SAI APPAREL INDUSTRIES,"3# CAIHONG RD,SHENGZE TOWN, WUJIANG, JIANGSU, 215228, SUZHOU",China,Jiangsu,,215228.0,H&M
PT SAI APPAREL INDUSTRIES,"WUBAO INDUSTRIAL ZONE, , HONGSHAN TOWN, SHISHI CITY, 362700, SHISHI",China,Fujian,Shishi,362700.0,H&M
PT SAI APPAREL INDUSTRIES,"JL BRIGJEND SUDIARTO KM 11, 50194, SEMARANG",Indonesia,Central Java,Semarang,50194.0,H&M
PT SAI APPAREL INDUSTRIES,"NO.8 JINGYANG ROAD, , TIANNING DEVELOPMENT ZONE, 213000, CHANGZHOU",China,Zhejiang,Hangzhou,213000.0,H&M
PT SAI APPAREL INDUSTRIES,"1588 YIN ZHONG SOUTH ROAD, ZHONG ECONOMIC DEVELOPMENT DISTRICT, SUZHOU, P.R.CHINA, 215000, SUZHOU",China,Jiangsu,Suzhou,1588.0,H&M
PT SAI APPAREL INDUSTRIES,"NO.288 TIANZIWEI ROAD, 313000, HANGZHOU",China,Zhejiang,Hangzhou,313000.0,H&M
PT SAI APPAREL INDUSTRIES,"NO.1, PEOPLE RODE, KANSHAN, XIAOSHAN,, HANGZHOU, CHINA, ZHEJIANG, 202400, HANGZHOU",China,Zhejiang,,202400.0,H&M
PT SAI APPAREL INDUSTRIES,"JINJIANG INDUSTRIAL ZONE, XIAOSHAN, HANGZHOU, ZHEJIANG, CHINA, 310000, HANGZHOU",China,Zhejiang,,310000.0,H&M
PT SAI APPAREL INDUSTRIES,"HANGMIN VILLAGE, XIAOSHAN, HANGZHOU, ZHEJIANG,CHINA, 310000, HANGZHOU",China,Zhejiang,,310000.0,H&M
PT SAI APPAREL INDUSTRIES,"NO.68 XI'ERHUAN ROAD, SHENGZE TOWN,WUJIANG DISTRICT, 215228, SUZHOU",China,Jiangsu,Suzhou,215228.0,H&M
PT SAI APPAREL INDUSTRIES,"JL. RANCAEKEK KM 23, RANCAEKEK, 45363, SUMEDANG",Indonesia,West Java,Rancaekek,45363.0,H&M
PT SAI APPAREL INDUSTRIES,"JL.MOH.TOHHA 6,8 KM CISIRUNG,, PASAWAHAN - BANDUNG, 40256, BANDUNG",Indonesia,West Java,Bandung,40256.0,H&M
PT SAI APPAREL INDUSTRIES,"NO. 6088, XINGBIN ROAD, BINHAI INDUSTRIAL ZONE, KEQIAO DISTRICT, 312073, SHAOXING",China,Zhejiang,Shaoxing,6088.0,H&M
PT SAI APPAREL INDUSTRIES,"HIGH TECH INDUSTRIAL PARK, LINJIANG XIAOSHAN, 311228, HANGZHOU",China,Zhejiang,Hangzhou,311228.0,H&M
PERSANO GROUP A/S,"SKARRMOSEVEJ 11-14, BLISTRUP, 3230, GRAESTAD",Denmark,Capital Region,Græsted,3230.0,H&M
HOP LUN (HK) LTD,"11,EAST OF GANGZHOU ROAD, XINHUI DISTRICT,, 529100, JIANGMEN",China,Guangdong,Jiangmen,529100.0,H&M
HOP LUN (HK) LTD,"PUTOU INDUSTRIAL ZONE, HUZHEN TOWN, BOLUO COUNTRY, 516100, HUIZHOU",Turkey,Bolu,,516100.0,H&M
HOP LUN (HK) LTD,"NO.8 JINGYANG ROAD, , TIANNING DEVELOPMENT ZONE, 213000, CHANGZHOU",China,Zhejiang,Hangzhou,213000.0,H&M
HOP LUN (HK) LTD,"BIANSHAZUI, GUANTIAN, SHANJIANG TOWN, XINHUI DISTRICT,, SHANJIANG TOWN, XINHUI DISTRICT,, 529142, JIANGMEN",China,Guangdong,Jiangmen,529142.0,H&M
HOP LUN (HK) LTD,"PLOT # 61-65,44-46,FS SFB #3 (LEVEL:, 1,2,3,4),FS SFB#4 (LEVEL #1,2,4),SFB#5, (LEVEL #1,2,3),SFB#6 (LEVEL, #1,2,3), PILOT 61-65, BUILDING 8 ,, DEPZ (WEST ZONE), ASHULIASAVART, 1349, DHAKA",Bangladesh,Dhaka,Dhaka,1349.0,H&M
HOP LUN (HK) LTD,"XINXING INDUSTRIAL PARK, JIUTANG,, YUANZHOU TOWN, BOLUO COUNTRY, 516129, HUIZHOU",Turkey,Bolu,,516129.0,H&M
HOP LUN (HK) LTD,"DUSUN KEMASAN RT.009/RW.005,, DESA KLEPU, KEC. PRINGAPUS,, KABUPATEN SEMARANG, 50553, CENTRAL JAVA",Indonesia,Central Java,,50553.0,H&M
HOP LUN (HK) LTD,"565, BEOLMADEUL-RO, , DANWONGU, ANSANSI, , GYEONGGI-DO, SEOUL, 15614, ANSANSI",South Korea,Seoul,,15614.0,H&M
